Architecture,MemorySizeMb,MinutesSinceLastCall,EndToEndRequestDurationMs,IsColdStart,RequestFailed
x64,128,0.9279333666666667,68.9044,False,False
x64,256,0.903294505,62.4232,False,False
x64,512,0.8890999116666667,63.2677,False,False
x64,1024,0.8801023683333333,64.8154,False,False
x64,2048,0.8727735633333333,59.2299,False,False
x64,3008,0.8666498033333333,60.944,False,False
arm64,128,0.8598415266666667,48.3068,False,False
arm64,256,0.8593578333333334,61.551,False,False
arm64,512,0.85858,54.3909,False,False
arm64,1024,0.8584774933333333,58.5328,False,False
arm64,2048,0.8506612783333334,52.2892,False,False
arm64,3008,0.8432740083333333,62.1742,False,False
x64,128,1.1688538566666666,60.4909,False,False
x64,256,1.16872864,52.3761,False,False
x64,512,1.1685862183333333,59.9438,False,False
x64,1024,1.1684008116666666,48.6364,False,False
x64,2048,1.16806221,48.3952,False,False
x64,3008,1.1679490816666667,48.7684,False,False
arm64,128,1.1677098783333333,74.67,False,False
arm64,256,1.1681247316666667,70.8801,False,False
arm64,512,1.168324675,55.4056,False,False
arm64,1024,1.1683062066666667,57.8632,False,False
arm64,2048,1.1684164516666666,55.5021,False,False
arm64,3008,1.1685950233333333,56.4953,False,False
x64,128,1.672064725,53.9618,False,False
x64,256,1.6720179066666667,60.7051,False,False
x64,512,1.671971805,52.7993,False,False
x64,1024,1.67196721,66.9416,False,False
x64,2048,1.672203845,59.4978,False,False
x64,3008,1.6723738883333332,53.7233,False,False
arm64,128,1.6726022683333333,78.0826,False,False
arm64,256,1.6727169166666667,58.2246,False,False
arm64,512,1.6724965266666667,58.889,False,False
arm64,1024,1.6726434183333334,58.689,False,False
arm64,2048,1.67269555,65.3849,False,False
arm64,3008,1.6727058916666666,52.2718,False,False
x64,128,2.176356681666667,73.6432,False,False
x64,256,2.1767266816666666,57.0022,False,False
x64,512,2.1768460733333335,69.0689,False,False
x64,1024,2.1771829533333333,61.8067,False,False
x64,2048,2.1772872933333334,59.2393,False,False
x64,3008,2.1773754933333334,53.1289,False,False
arm64,128,2.1774454916666666,428.0176,False,False
arm64,256,2.1831990783333333,70.1411,False,False
arm64,512,2.183388336666667,93.5019,False,False
arm64,1024,2.1838760883333332,72.0621,False,False
arm64,2048,2.183955086666667,58.6958,False,False
arm64,3008,2.184069625,54.2961,False,False
x64,128,2.6804073866666664,70.6581,False,False
x64,256,2.6803690166666665,75.3425,False,False
x64,512,2.680579225,45.8366,False,False
x64,1024,2.68007989,57.6729,False,False
x64,2048,2.6799319683333334,50.8449,False,False
x64,3008,2.6798709516666666,53.4285,False,False
arm64,128,2.6797688683333334,61.3799,False,False
arm64,256,2.67365657,71.2743,False,False
arm64,512,2.6737805233333334,67.152,False,False
arm64,1024,2.673469435,52.5859,False,False
arm64,2048,2.673235886666667,66.1944,False,False
arm64,3008,2.6732534733333333,63.4732,False,False
